company_name,quote_id,qty,unit_price,Length,Height,Gutter,_F7,_F8,_F9,_G2,_G3,_G4,_H13,_H14,_M5,_M6
ANA,17163.0,10.0,8.25,580.0,280.0,100.0,0,0,0,0,0,1,0,0,0,0
ANA,17163.0,18.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17163.0,15.0,11.5,287.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17163.0,3.0,11.25,287.0,287.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17179.0,6.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17179.0,6.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17179.0,3.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17179.0,9.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17179.0,36.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17179.0,36.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17179.0,6.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17179.0,24.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17179.0,18.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17179.0,24.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17179.0,3.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17179.0,45.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17179.0,36.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17179.0,24.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17179.0,3.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17179.0,18.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17179.0,24.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17179.0,9.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17179.0,6.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17180.0,32.0,6.85,490.0,360.0,45.0,0,0,0,1,0,0,0,0,0,0
ANA,17180.0,121.0,7.1,490.0,490.0,45.0,0,0,0,1,0,0,0,0,0,0
ANA,17180.0,32.0,6.9,490.0,360.0,35.0,0,0,0,0,0,1,0,0,0,0
ANA,17180.0,117.0,7.15,490.0,490.0,45.0,0,0,0,0,0,1,0,0,0,0
ANA,17181.0,8.0,11.5,287.0,287.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17181.0,99.0,11.75,287.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17182.0,4.0,8.0,580.0,280.0,100.0,0,0,0,0,0,1,0,0,0,0
ANA,17182.0,8.0,10.5,580.0,580.0,100.0,0,0,0,0,0,1,0,0,0,0
ANA,17183.0,2.0,11.5,590.0,525.0,100.0,0,0,0,0,0,1,0,0,0,0
ANA,17194.0,96.0,7.45,592.0,592.0,48.0,0,0,0,0,0,1,0,0,0,0
ANA,17195.0,8.0,17.5,1665.0,420.0,48.0,0,0,0,0,0,1,0,0,0,0
ANA,17196.0,164.0,7.1,490.0,490.0,45.0,0,0,0,1,0,0,0,0,0,0
ANA,17197.0,268.0,19.75,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17199.0,144.0,7.25,490.0,490.0,45.0,0,0,0,0,0,1,0,0,0,0
ANA,17201.0,24.0,7.6,592.0,592.0,48.0,0,0,0,0,0,1,0,0,0,0
ANA,18223.0,54.0,4.95,490.0,210.0,3.0,0,0,0,0,1,0,0,0,0,0
ANA,18223.0,18.0,5.15,850.0,200.0,3.0,0,0,0,0,1,0,0,0,0,0
ANA,18223.0,6.0,5.05,630.0,200.0,3.0,0,0,0,0,1,0,0,0,0,0
ANA,18223.0,12.0,5.1,785.0,210.0,3.0,0,0,0,0,1,0,0,0,0,0
ANA,18223.0,8.0,8.5,1060.0,200.0,3.0,0,0,0,0,1,0,0,0,0,0
ANA,18225.0,171.0,10.5,592.0,592.0,25.0,0,0,0,0,0,1,0,0,0,0
ANA,18225.0,45.0,8.95,287.0,592.0,25.0,0,0,0,0,0,1,0,0,0,0
ANA,18226.0,2.0,12.5,585.0,600.0,90.0,0,0,0,0,0,1,0,0,0,0
ANA,18226.0,9.0,17.5,585.0,523.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18226.0,2.0,8.1,535.0,473.0,48.0,0,0,0,0,0,1,0,0,0,0
ANA,18226.0,3.0,14.0,287.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18226.0,3.0,15.5,592.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18226.0,3.0,48.5,825.0,663.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18227.0,4.0,8.15,373.0,305.0,50.0,0,0,0,0,0,0,0,0,1,0
ANA,18227.0,4.0,8.15,373.0,305.0,50.0,0,0,0,0,0,0,0,0,1,0
ANA,18228.0,10.0,17.5,592.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18228.0,10.0,14.75,592.0,592.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18250.0,6.0,9.95,592.0,592.0,98.0,0,0,0,0,0,1,0,0,0,0
ANA,18250.0,6.0,9.95,592.0,592.0,98.0,0,0,0,0,0,1,0,0,0,0
ANA,18250.0,24.0,16.5,592.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18251.0,30.0,16.25,287.0,892.0,25.0,0,0,0,0,0,0,0,0,0,1
ANA,18251.0,6.0,15.5,592.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18251.0,6.0,18.95,592.0,287.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18251.0,3.0,22.5,715.0,583.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18251.0,16.0,11.5,287.0,592.0,25.0,0,0,0,0,0,0,0,0,0,1
ANA,18252.0,4.0,17.5,592.0,287.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18253.0,6.0,11.5,592.0,592.0,25.0,0,0,0,0,0,1,0,0,0,0
ANA,18257.0,4.0,8.1,585.0,585.0,49.0,0,0,0,0,0,1,0,0,0,0
ANA,18257.0,6.0,14.5,590.0,590.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18258.0,8.0,8.5,495.0,795.0,45.0,0,0,0,0,0,1,0,0,0,0
ANA,18259.0,6.0,14.5,590.0,590.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18259.0,6.0,12.5,285.0,590.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18259.0,2.0,7.95,592.0,592.0,45.0,0,0,0,0,0,1,0,0,0,0
ANA,18259.0,2.0,5.95,287.0,592.0,45.0,0,0,0,0,0,1,0,0,0,0
ANA,18260.0,24.0,6.25,592.0,592.0,25.0,0,0,0,0,1,0,0,0,0,0
ANA,18260.0,24.0,5.25,592.0,287.0,25.0,0,0,0,0,1,0,0,0,0,0
ANA,18260.0,24.0,10.5,592.0,592.0,25.0,0,0,0,0,0,1,0,0,0,0
ANA,18260.0,24.0,8.5,287.0,592.0,25.0,0,0,0,0,0,1,0,0,0,0
ANA,18261.0,50.0,6.25,590.0,995.0,5.0,0,0,0,0,0,1,0,0,0,0
ANA,18262.0,2.0,8.0,535.0,473.0,48.0,0,0,0,0,0,1,0,0,0,0
ANA,18262.0,3.0,17.5,535.0,473.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18264.0,2.0,9.5,855.0,390.0,45.0,0,0,0,0,0,1,0,0,0,0
ANA,18272.0,2.0,7.25,490.0,425.0,45.0,0,0,0,0,0,1,0,0,0,0
ANA,18273.0,48.0,8.95,580.0,580.0,100.0,0,0,0,0,0,1,0,0,0,0
ANA,18273.0,24.0,7.25,580.0,295.0,100.0,0,0,0,0,0,1,0,0,0,0
ANA,18273.0,48.0,10.95,592.0,592.0,25.0,0,0,0,0,0,1,0,0,0,0
ANA,18273.0,24.0,7.95,287.0,592.0,25.0,0,0,0,0,0,1,0,0,0,0
ANA,18274.0,2.0,7.5,470.0,400.0,50.0,0,0,0,0,0,0,0,0,1,0
ANA,18274.0,2.0,6.25,395.0,395.0,48.0,0,0,0,0,0,1,0,0,0,0
ANA,18274.0,1.0,17.5,395.0,395.0,48.0,1,0,0,0,0,0,0,0,0,0
ANA,18275.0,8.0,8.25,696.0,481.0,47.0,0,0,0,0,0,1,0,0,0,0
ANA,18283.0,12.0,5.5,785.0,210.0,3.0,0,0,0,0,1,0,0,0,0,0
ANA,18283.0,12.0,6.1,1095.0,200.0,5.0,0,0,0,0,1,0,0,0,0,0
ANA,18283.0,6.0,5.25,420.0,200.0,3.0,0,0,0,0,1,0,0,0,0,0
ANA,18284.0,20.0,4.95,930.0,180.0,10.0,0,0,0,0,1,0,0,0,0,0
ANA,18284.0,2.0,5.5,1135.0,180.0,10.0,0,0,0,0,0,1,0,0,0,0
ANA,18284.0,12.0,4.97,1190.0,210.0,5.0,0,0,0,0,1,0,0,0,0,0
ANA,18284.0,16.0,4.5,445.0,310.0,10.0,0,0,0,0,1,0,0,0,0,0
ANA,18288.0,6.0,5.5,287.0,592.0,48.0,0,0,0,0,0,1,0,0,0,0
ANA,18288.0,6.0,7.5,592.0,592.0,48.0,0,0,0,0,0,1,0,0,0,0
ANA,18288.0,9.0,14.2,592.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18288.0,9.0,9.95,287.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18288.0,15.0,12.5,289.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18288.0,60.0,15.5,592.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18288.0,3.0,18.5,585.0,523.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18288.0,2.0,12.5,715.0,583.0,98.0,0,0,0,0,0,1,0,0,0,0
ANA,18288.0,3.0,21.5,715.0,583.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18289.0,4.0,6.75,785.0,180.0,10.0,0,0,0,0,1,0,0,0,0,0
ANA,18300.0,4.0,8.25,490.0,490.0,45.0,0,0,0,0,0,1,0,0,0,0
ANA,18313.0,4.0,9.95,592.0,592.0,98.0,0,0,0,0,0,1,0,0,0,0
